id,title,country,year,averageScore,popularity,score,berserk_cos,centroid_cos,top_tags,label_group
72451,Horimiya,JP,2011,82.0,119971,0.44197252178942004,0.1276226851521011,0.24929976897245662,"Heterosexual, Female Protagonist, Male Protagonist, Primarily Teen Cast, Tsundere",
97770,Reborn as a Scholar,KR,2016,71.0,10777,0.4418465528866348,0.26665701419067384,0.4907933494072891,"Martial Arts, Cultivation, Wuxia, Heterosexual, Reincarnation",
138397,Reincarnated as an Unruly Heir,KR,2021,71.0,9462,0.44133092470643437,0.24695562835776402,0.4523777135354068,"Politics, Martial Arts, Reincarnation, Male Protagonist, Full Color",
104977,"Don’t mind me, Sensei! Give yourself a hand!",JP,2018,65.0,10389,0.441163907634702,0.15438247348763204,0.1441416164570476,"Masturbation, Drawing, Work, Seinen, Surreal Comedy",
35627,Bloody Monday,JP,2007,72.0,8972,0.4411319324481894,0.23164472044835666,0.5105587943592069,"Terrorism, Shounen, Male Protagonist, Tragedy, Guns",
110393,That's My Atypical Girl,JP,2018,78.0,11849,0.4410257386937017,0.3494700486147031,0.28124634352438993,"Primarily Adult Cast, Rehabilitation, Disability, Bullying, Suicide",
110872,Hirasaka Hinako ga Ero Kawaii koto wo Ore dake ga Shitteiru.,JP,2018,61.0,8014,0.4409786842697786,0.1875044816602152,0.3084818410079144,"School, Shounen, Tsundere, Witch, Nudity",
101294,Might as Well Cheat: I Got Transported to Another World Where I Can Live My Wildest Dreams!,JP,2018,55.0,5975,0.44096162511406284,0.2946496191252717,0.33632484452059597,"Female Harem, Nudity, Seinen, Isekai, Elf",
85277,kuro,JP,2011,74.0,9220,0.44082214452293106,0.29012139511062174,0.3422970979979014,"Demons, Full Color, Animals, Amnesia, Tragedy",
119701,The Spark in Your Eyes,KR,2020,80.0,11499,0.4407080745452606,0.35771647641599646,0.4144234279654999,"Tragedy, Full Color, Magic, Female Protagonist, Witch",
122180,"Even Given the Worthless ""Appraiser"" Class, I'm Actually the Strongest",JP,2020,65.0,5813,0.4406567138850884,0.3188355119596578,0.5163081567447487,"Magic, Male Protagonist, Female Harem, Shounen, Elf",
136680,SANDA,JP,2021,69.0,6396,0.440578062336216,0.1585389922005559,0.295938934581204,"Male Protagonist, Dissociative Identities, Female Protagonist, School, Primarily Teen Cast",
97701,Machida-kun no Sekai,JP,2015,82.0,17016,0.4405399665750831,0.1627130180761603,0.20284158654994044,"Episodic, Iyashikei, Male Protagonist, Shoujo, Family Life",
31929,Old Boy,JP,1996,68.0,6897,0.4404550718810097,0.3316335070936866,0.40383756742297866,"Revenge, Noir, Crime, Urban, Bar",
110941,Kanzen Kaihi Healer no Kiseki,JP,2019,63.0,6070,0.44018358054792045,0.2969158503909478,0.4887634092418837,"Isekai, Male Protagonist, Magic, Dungeon, Alchemy",
